,Model_ds,AUC-ROC,AUC-PR,Applied_Threshold,Balanced_Accuracy,Brier_Score,Brier_Score_Bal,ECE,Calibration_Slope,Accuracy,Recall (Sens),Precision (PPV),Specificity,NPV,True_Positives,False_Positives,True_Negatives,False_Negatives
71,standard4_mcdropout/60% Temporal,0.6557379829709284,0.23015748663161134,0.2266365885734558,0.6235681897848185,0.12301217019557953,0.32140407383234654,0.05209781189234551,0.1636525653870549,0.6995249406175772,0.516260162601626,0.24708171206225682,0.7308762169680111,0.8982905982905983,127,387,1051,119
72,standard5/0%,0.680772753485532,0.2637707615866401,0.1763821542263031,0.6452785598787838,0.11891276389360428,0.32526707207232786,0.029159565529213095,0.1450016945205974,0.6330166270783848,0.6626016260162602,0.2335243553008596,0.6279554937413073,0.9158215010141988,163,535,903,83
73,standard5_mcdropout/0%,0.6811402467293102,0.26445111525729004,0.17692041397094727,0.6415075138233997,0.11891694366931915,0.3249239230428575,0.02966493143835005,0.1459550798804795,0.6294536817102138,0.6585365853658537,0.23076923076923078,0.6244784422809457,0.9144602851323829,162,540,898,84
74,standard5/10% MCAR,0.6784264504675646,0.258107744276872,0.18067549169063568,0.6332982801316192,0.11924850940704346,0.32460751846663505,0.03696638800982483,0.14272559749692287,0.6413301662707839,0.6219512195121951,0.23042168674698796,0.6446453407510431,0.9088235294117647,153,511,927,93
75,standard5_mcdropout/10% MCAR,0.6779798048328188,0.25906291682604093,0.1864091157913208,0.6332728382916653,0.11931291222572327,0.32435413153599146,0.03502936445778311,0.14297262742852582,0.6585510688836105,0.5975609756097561,0.23595505617977527,0.6689847009735744,0.9066918001885014,147,476,962,99
76,standard5/20% MCAR,0.6784660266630482,0.26520156772009384,0.19204039871692657,0.6437577032237638,0.1190892830491066,0.32452881318759613,0.031187077063952094,0.14434920908214427,0.6793349168646081,0.5934959349593496,0.24914675767918087,0.694019471488178,0.9089253187613844,146,440,998,100
77,standard5_mcdropout/20% MCAR,0.6777282133043862,0.26480232674931126,0.19443778693675995,0.6411371937085157,0.11916974931955338,0.3243831598723896,0.031066296531458232,0.1445645860970069,0.6834916864608076,0.5813008130081301,0.24956369982547993,0.7009735744089013,0.9072907290729073,143,430,1008,103
78,standard5/40% MCAR,0.6578411750737813,0.2295464772837654,0.16990986466407776,0.6243879824055543,0.1215483620762825,0.3280885633416627,0.03566002287191832,0.12454099093522819,0.5771971496437055,0.6910569105691057,0.2109181141439206,0.5577190542420027,0.9134396355353075,170,636,802,76
79,standard5_mcdropout/40% MCAR,0.6571768603638749,0.22889798643427686,0.17063991725444794,0.6237462826644957,0.12162881344556808,0.3280356247905972,0.035999642302350726,0.124617617644157,0.578978622327791,0.6869918699186992,0.21098626716604243,0.5605006954102921,0.912797281993205,169,632,806,77
80,standard5/60% MCAR,0.6507004986600631,0.2286853425780242,0.17836691439151764,0.6200572158711851,0.12232223898172379,0.32648116432369756,0.03788575223666967,0.11841753730960208,0.5985748218527316,0.6504065040650406,0.21333333333333335,0.5897079276773296,0.9079229122055674,160,590,848,86
81,standard5_mcdropout/60% MCAR,0.6505648088469758,0.22870747143061299,0.1801629215478897,0.6184261112430318,0.12236173450946808,0.3262499948582181,0.038779900369462245,0.11885625023493003,0.6015439429928741,0.6422764227642277,0.21322537112010798,0.5945757997218358,0.9066808059384942,158,583,855,88
82,standard5/10% Temporal,0.6754780239040219,0.2515523497675538,0.1766471266746521,0.6430849079005394,0.11987989395856857,0.32574175796625227,0.03221612506172224,0.13882734703609984,0.6235154394299287,0.6707317073170732,0.2298050139275766,0.6154381084840056,0.9161490683229814,165,553,885,81
83,standard5_mcdropout/10% Temporal,0.6756165405882153,0.25188796210810793,0.17876416444778442,0.6442354444406753,0.1199030876159668,0.3254122853932272,0.031999161314316585,0.13974893691959742,0.6312351543942993,0.6626016260162602,0.23252496433666192,0.6258692628650904,0.9155645981688708,163,538,900,83
